,Unnamed: 0,ts_code,symbol,name,area,industry,list_date
2734,2854,600841.SH,600841,上柴股份,上海,机械基件,19940311
2663,2779,600757.SH,600757,长江传媒,湖北,出版业,19961003
3366,3512,603816.SH,603816,顾家家居,浙江,家居用品,20161014
2722,2842,600827.SH,600827,百联股份,上海,超市连锁,19940204
1183,1229,002775.SZ,2775,文科园林,深圳,建筑施工,20150629
1750,1810,300421.SZ,300421,力星股份,江苏,机械基件,20150217
1439,1499,300107.SZ,300107,建新股份,河北,化工原料,20100820
1268,1314,002867.SZ,2867,周大生,深圳,服饰,20170427
1684,1744,300353.SZ,300353,东土科技,北京,通信设备,20120927
3115,3252,603186.SH,603186,华正新材,浙江,元器件,20170103
2810,2934,600975.SH,600975,新五丰,湖南,农业综合,20040609
1153,1199,002742.SZ,2742,三圣股份,重庆,其他建材,20150217
1537,1597,300206.SZ,300206,理邦仪器,深圳,医疗保健,20110421
1904,1964,300579.SZ,300579,数字认证,北京,软件服务,20161223
2686,2804,600784.SH,600784,鲁银投资,山东,普钢,19961225
2703,2821,600804.SH,600804,鹏博士,四川,电信运营,19940103
2040,2102,300722.SZ,300722,新余国科,江西,专用机械,20171110
960,1003,002543.SZ,2543,万和电气,广东,家用电器,20110128
636,671,002209.SZ,2209,达意隆,广东,轻工机械,20080130
625,659,002197.SZ,2197,证通电子,深圳,电器仪表,20071218
1757,1817,300428.SZ,300428,四通新材,河北,铝,20150319
39,40,000050.SZ,50,深天马A,深圳,元器件,19950315
2521,2625,600588.SH,600588,用友网络,北京,软件服务,20010518
2429,2531,600480.SH,600480,凌云股份,河北,汽车配件,20030815
2466,2568,600522.SH,600522,中天科技,江苏,通信设备,20021024
591,622,002160.SZ,2160,常铝股份,江苏,铝,20070821
68,69,000166.SZ,166,申万宏源,新疆,证券,20150126
1661,1721,300330.SZ,300330,华虹计通,上海,软件服务,20120619
633,667,002205.SZ,2205,国统股份,新疆,其他建材,20080123
741,780,002319.SZ,2319,乐通股份,广东,染料涂料,20091211
2034,2096,300716.SZ,300716,国立科技,广东,塑料,20171109
3239,3381,603555.SH,603555,贵人鸟,福建,服饰,20140124
954,997,002537.SZ,2537,海联金汇,山东,汽车整车,20110110
2359,2454,600368.SH,600368,五洲交通,广西,路桥,20001221
3113,3249,603181.SH,603181,皇马科技,浙江,化工原料,20170824
2084,2163,600025.SH,600025,华能水电,云南,水力发电,20171215
728,766,002305.SZ,2305,南国置业,湖北,区域地产,20091106
1962,2022,300639.SZ,300639,凯普生物,广东,医疗保健,20170412
3223,3365,603505.SH,603505,金石资源,浙江,矿物制品,20170503
3136,3275,603233.SH,603233,大参林,广东,医药商业,20170731
1953,2013,300630.SZ,300630,普利制药,海南,化学制药,20170328
381,398,000920.SZ,920,南方汇通,贵州,环境保护,19990616
2772,2894,600885.SH,600885,宏发股份,湖北,电气设备,19960205
3235,3377,603533.SH,603533,掌阅科技,北京,互联网,20170921
3454,3601,603997.SH,603997,继峰股份,浙江,汽车配件,20150302
871,914,002453.SZ,2453,华软科技,江苏,化工原料,20100720
3310,3454,603688.SH,603688,石英股份,江苏,矿物制品,20141031
3412,3558,603903.SH,603903,中持股份,北京,环境保护,20170314
24,24,000030.SZ,30,富奥股份,吉林,汽车配件,19930929
2053,2115,300737.SZ,300737,科顺股份,广东,其他建材,20180125
